28,avg_row_length,3,6,1544,8,0,
28,data_length,4,6,1544,8,0,
28,max_data_length,5,6,1544,8,0,
28,index_length,6,6,1544,8,0,
28,data_free,7,6,1544,8,0,
28,auto_increment,8,6,1544,8,0,
28,checksum,9,6,1544,8,0,
28,update_time,10,3,525319,4,0,
28,check_time,11,3,525319,4,0,
28,cached_time,12,3,525575,4,0,
29,id,0,6,1800,8,0,
29,schema_id,1,6,1800,8,0,
29,name,2,12,4981007,192,0,
29,type,3,6,1022,1,0,
29,engine,4,12,2162959,192,0,
29,mysql_version_id,5,6,1795,4,0,
29,row_format,6,6,766,1,0,
29,collation_id,7,6,1544,8,0,
29,comment,8,12,5443855,6144,0,
29,hidden,9,6,1022,1,0,
29,options,10,5,5439740,11,0,
29,se_private_data,11,5,5439740,11,0,
29,se_private_id,12,6,1544,8,0,
29,tablespace_id,13,6,1544,8,0,
29,partition_type,14,6,766,1,0,
29,partition_expression,15,12,5443599,6144,0,
29,partition_expression_utf8,16,12,5443599,6144,0,
29,default_partitioning,17,6,766,1,0,
29,subpartition_type,18,6,766,1,0,
29,subpartition_expression,19,12,5443599,6144,0,
29,subpartition_expression_utf8,20,12,5443599,6144,0,
29,default_subpartitioning,21,6,766,1,0,
29,created,22,3,525575,4,0,
29,last_altered,23,3,525575,4,0,
29,view_definition,24,5,4130044,12,0,
29,view_definition_utf8,25,5,5439740,12,0,
29,view_check_option,26,6,766,1,0,
29,view_is_updatable,27,6,766,1,0,
29,view_algorithm,28,6,766,1,0,
29,view_security_type,29,6,766,1,0,
29,view_definer,30,12,5443599,864,0,
29,view_client_collation_id,31,6,1544,8,0,
29,view_connection_collation_id,32,6,1544,8,0,
29,view_column_names,33,5,5439740,12,0,
29,last_checked_for_upgrade_version_id,34,6,1795,4,0,
30,tablespace_id,0,6,1800,8,0,
30,ordinal_position,1,6,1795,4,0,
30,file_name,2,12,5443855,1536,0,
30,se_private_data,3,5,5439740,11,0,
31,id,0,6,1800,8,0,
31,name,1,12,5443855,804,0,
31,options,2,5,5439740,11,0,
31,se_private_data,3,5,5439740,11,0,
31,comment,4,12,5443855,6144,0,
31,engine,5,12,2162959,192,0,
32,id,0,6,1800,8,0,
32,schema_id,1,6,1800,8,0,
32,name,2,12,2162959,192,0,
32,event_type,3,6,1022,1,0,
32,table_id,4,6,1800,8,0,
32,action_timing,5,6,1022,1,0,
